Death,Exposure,Size
0,116291,Mid
7,216674,Mid
0,101114,Mid
12,2758908,Mid
20,112225,Mid
18,357008,Mid
19,294261,Mid
19,641184,Mid
11,280780,Mid
22,1026466,Mid
26,1042795,Mid
35,537497,Mid
34,222880,Mid
10,154873,Large
27,468830,Large
22,145206,Large
21,153002,Large
4,193425,Vlarge
33,120360,Vlarge
9,622139,Small
18,1114543,Small
35,171570,Small
31,190081,Small
28,1954222,Small
55,410771,Small
37,556730,Small
44,276648,Small
65,296315,Mini
65,273617,Mini
96,258137,Mini
