Death,Exposure,Size
0,116291,Mid
0,216674,Mid
8,101114,Mid
7,2758908,Mid
0,112225,Mid
10,357008,Mid
10,294261,Mid
14,641184,Mid
25,280780,Mid
12,1026466,Mid
16,1042795,Mid
7,537497,Mid
17,222880,Mid
10,154873,Large
8,468830,Large
15,145206,Large
25,153002,Large
0,193425,Vlarge
25,120360,Vlarge
7,622139,Small
15,1114543,Small
4,171570,Small
12,190081,Small
21,1954222,Small
13,410771,Small
33,556730,Small
87,276648,Small
31,296315,Mini
53,273617,Mini
54,258137,Mini
